strength,word
-2,bereaving
-3,bereft
-3,berserk
-3,beseech
-3,beset
-3,besiege
-3,besmirch
3,best
3,best-known
3,best-performing
3,best-selling
-3,bestial
-3,betray
-3,betrayal
-3,betrayals
-3,betrayed
-3,betrayer
-3,betraying
-3,betrays
2,better
3,better-known
3,better-than-expected
3,beutifully
-3,bewail
-3,beware
-3,bewilder
-3,bewildered
-3,bewildering
-3,bewilderingly
-3,bewilderment
-3,bewitch
-1,bias
-2,biased
-3,biases
-3,bicker
-3,bickering
-3,bid-rigging
1,big
-3,bigotries
-3,bigotry
-5,bitch
-5,bitches
-3,bitchy
-3,biting
-3,bitingly
-2,bitter
-2,bitterly
-3,bitterness
-2,bizarre
-3,blab
-3,blabber
-3,blackmail
-2,blah
-2,blame
-2,blamed
3,blameless
-2,blames
-3,blameworthy
-2,blaming
-3,bland
-3,blandish
-3,blaspheme
-3,blasphemous
-3,blasphemy
-3,blasted
-3,blatant
-3,blatantly
-3,blather
-3,bleak
-3,bleakly
-3,bleakness
-3,bleed
-3,bleeding
-3,bleeds
-3,blemish
2,bless
2,blesses
3,blessing
-1,blind
-3,blinding
-3,blindingly
-3,blindside
3,bliss
3,blissful
3,blissfully
-3,blister
-3,blistering
2,blithe
-3,bloated
-1,block
-3,blockage
3,blockbuster
-1,blocked
-3,blockhead
-1,blocking
-1,blocks
-3,bloodshed
-3,bloodthirsty
-3,bloody
3,bloom
3,blossom
-3,blotchy
-3,blow
-3,blunder
-3,blundering
-3,blunders
-3,blunt
-3,blur
-3,bluring
-3,blurred
-3,blurring
-2,blurry
-3,blurs
-3,blurt
-2,boastful
-3,boggle
-3,bogus
-3,boil
-3,boiling
-3,boisterous
2,bold
2,boldly
3,bolster
-1,bomb
-3,bombard
-3,bombardment
-3,bombastic
-3,bondage
-3,bonkers
3,bonny
3,bonus
3,bonuses
3,boom
3,booming
1,boost
1,boosted
1,boosting
1,boosts
-2,bore
-2,bored
-3,boredom
-3,bores
-3,boring
-3,botch
-2,bother
-2,bothered
-3,bothering
-2,bothers
-2,bothersome
3,boundless
3,bountiful
-3,bowdlerize
-2,boycott
-2,boycotted
-2,boycotting
-2,boycotts
-3,braggart
-3,bragger
3,brainiest
-3,brainless
-3,brainwash
-3,brainwashing
3,brainy
3,brand-new
-3,brash
-3,brashly
-3,brashness
-3,brat
-3,bravado
2,brave
3,bravery
3,bravo
-3,brazen
-3,brazenly
-3,brazenness
-3,breach
-3,break
-3,break-up
-3,break-ups
-3,breakdown
-3,breaking
-3,breaks
3,breakthrough
3,breakthroughs
-3,breakup
-3,breakups
3,breathlessness
5,breathtaking
3,breathtakingly
3,breeze
-3,bribe
-3,bribery
1,bright
3,brighten
3,brighter
2,brightest
1,brightness
3,brilliance
3,brilliances
4,brilliant
3,brilliantly
-3,brimstone
2,brisk
-3,bristle
-3,brittle
-1,broke
-1,broken
-3,broken-hearted
-3,brood
-2,brooding
3,brotherly
-3,browbeat
-3,bruise
-3,bruised
-3,bruises
-3,bruising
-3,brusque
-3,brutal
-3,brutalising
-3,brutalities
-3,brutality
-3,brutalize
-3,brutalizing
-3,brutally
-3,brute
-3,brutish
-3,bs
-3,buckle
-3,bug
-3,bugging
-3,buggy
-3,bugs
-3,bulkier
-3,bulkiness
-3,bulky
-3,bulkyness
-3,bull****
-3,bull----
-2,bullied
-3,bullies
3,bullish
-4,bullshit
-3,bullshyt
-2,bully
-2,bullying
-3,bullyingly
-3,bum
-2,bummer
-3,bump
-3,bumped
-3,bumping
-3,bumpping
-3,bumps
-3,bumpy
-3,bungle
-3,bungler
-3,bungling
-3,bunk
2,buoyant
